Name,Weight Division,Age Division,Belt Level,Gender,Placement,Gi or No Gi,School,Tournament
Barbara Andrea Quimpo Katter ,Heavy,Master 1,Purple,F,2nd,Gi,Evolve MMA,IBJJF Worlds
Amanda R. Clifton ,Middle,Master 1,Purple,F,3rd,Gi,Cavalo Team,IBJJF Worlds
Nadine Laarman ,Middle,Master 1,Purple,F,3rd,Gi,OG Jiu-Jitsu,IBJJF Worlds
Nicole Sullivan ,Light,Master 1,Brown,F,1st,Gi,Atos Jiu Jitsu,IBJJF Worlds
Sarah L Draht ,Medium-Heavy,Master 1,Brown,F,2nd,Gi,Pacific Top Team,IBJJF Worlds
Emily Sheil ,Middle,Master 1,Brown,F,3rd,Gi,Pacific Top Team,IBJJF Worlds
Shantelle Thompson ,Super-Heavy,Master 1,Brown,F,3rd,Gi,Maromba Academia International ,IBJJF Worlds
Claudia Fernanda Onofre Valim Doval ,Medium-Heavy,Master 1,Black,F,1st,Gi,De La Riva JJ ,IBJJF Worlds
Fabiana Alves Borges ,Light,Master 1,Black,F,2nd,Gi,Gracie Barra,IBJJF Worlds
Miriam Cardoso Cerqueira ,Light-Feather,Master 1,Black,F,3rd,Gi,Elite Brazilian Jiu Jitsu Redmond ,IBJJF Worlds
Shanti A. D. Abelha ,Middle,Master 1,Black,F,3rd,Gi,Checkmat,IBJJF Worlds
Matthew Troy Pehrson ,Ultra-Heavy,Master 2,Blue,M,1st,Gi,Gracie Humaita ,IBJJF Worlds
Manuel Meraz,Medium-Heavy,Master 2,Blue,M,2nd,Gi,A-Force Brazilian Jiu-Jitsu ,IBJJF Worlds
Ferhayn Gambrah ,Light,Master 2,Blue,M,3rd,Gi,Alliance USA,IBJJF Worlds
Roberto Sheets ,Light,Master 2,Blue,M,3rd,Gi,One Jiu-Jitsu USA ,IBJJF Worlds
Edward Willis ,Medium-Heavy,Master 2,Purple,M,1st,Gi,Hoboken Jiu-Jitsu,IBJJF Worlds
Mauro Matai,Super-Heavy,Master 2,Purple,M,2nd,Gi,LEAD BJJ,IBJJF Worlds
Alex Buan Pong Chua,Middle,Master 2,Purple,M,3rd,Gi,Evolve MMA,IBJJF Worlds
Nicolas Anthony Maathurin Marcho ,Middle,Master 2,Brown,M,1st,Gi,Amazonia Jiu-Jitsu,IBJJF Worlds
Travis Owen Clark ,Ultra-Heavy,Master 2,Brown,M,2nd,Gi,All American MMA,IBJJF Worlds
Ademir Morais Farias ,Super-Heavy,Master 2,Brown,M,3rd,Gi,G13 BJJ,IBJJF Worlds
Octavius Allen ,Light,Master 2,Brown,M,3rd,Gi,Gracie Barra,IBJJF Worlds
Gustavo Ramos Campos ,Medium-Heavy,Master 2,Black,M,1st,Gi,Atos Jiu Jitsu,IBJJF Worlds
Joshua Roy Hinger ,Heavy,Master 2,Black,M,2nd,Gi,Atos Jiu Jitsu,IBJJF Worlds
Denis Mitchel Batista Pinto ,Middle,Master 2,Black,M,3rd,Gi,Fight Sports,IBJJF Worlds
Diego Pereira de Santana ,Ultra-Heavy,Master 2,Black,M,3rd,Gi,Ribeiro Jiu-Jitsu ,IBJJF Worlds
Erin Rogalski ,Medium-Heavy,Master 2,Blue,F,1st,Gi,Carlson Gracie Team,IBJJF Worlds
Shyenne Schuster ,Super-Heavy,Master 2,Blue,F,2nd,Gi,UFC Gym BJ Penn Hawaii ,IBJJF Worlds
Julie Ferguson ,Light,Master 2,Blue,F,3rd,Gi,Team Rubao Carioca BJJ ,IBJJF Worlds
Liz S Ambulay ,Heavy,Master 2,Blue,F,3rd,Gi,Darkwolfmma,IBJJF Worlds
Olena Litovsky ,Medium-Heavy,Master 2,Purple,F,1st,Gi,Unified Jiu Jitsu ,IBJJF Worlds
Nicole Urschinger ,Heavy,Master 2,Purple,F,2nd,Gi,Association Aranha ,IBJJF Worlds
AJ Clingerman ,Medium-Heavy,Master 2,Purple,F,3rd,Gi,Indiana Brazilian Jiu-Jitsu Academy ,IBJJF Worlds
Amanda Kemling ,Super-Heavy,Master 2,Purple,F,3rd,Gi,Gracie Humaita ,IBJJF Worlds
Sarah Gail Rice ,Heavy,Master 2,Brown,F,1st,Gi,Team Royce Gracie ,IBJJF Worlds
Abigail Kate Pacinelli ,Light,Master 2,Brown,F,2nd,Gi,TAC Team BJJ ,IBJJF Worlds
Niceli Gislaine Schwinden Guerino ,Heavy,Master 2,Brown,F,3rd,Gi,Checkmat,IBJJF Worlds
Patricia Alvares Pacheco ,Light,Master 2,Brown,F,3rd,Gi,Maromba Academia ,IBJJF Worlds
Tammy M Griego ,Super-Heavy,Master 2,Black,F,1st,Gi,Gracie Barra,IBJJF Worlds
Sofia Rosa Amarante ,Light-Feather,Master 2,Black,F,2nd,Gi,Fight Sports,IBJJF Worlds
Luana Beatriz Gomes Fiquene ,Super-Heavy,Master 2,Black,F,3rd,Gi,Ribeiro Jiu-Jitsu ,IBJJF Worlds
Marcia Sousa da Silva ,Middle,Master 2,Black,F,3rd,Gi,Demian Maia Jiu-Jitsu ,IBJJF Worlds
Matt Peebles,Super-Heavy,Master 3,Blue,M,1st,Gi,Gracie Barra,IBJJF Worlds
Darkhan Bekteleuov ,Medium-Heavy,Master 3,Blue,M,2nd,Gi,KMR BJJ Kimura Europe ,IBJJF Worlds
John Lightfoot ,Medium-Heavy,Master 3,Blue,M,3rd,Gi,Soul Fighters BJJ,IBJJF Worlds
Reinaldo Jose dos Santos ,Ultra-Heavy,Master 3,Purple,M,1st,Gi,LEAD BJJ ,IBJJF Worlds
Jose A. Madrazo ,Middle,Master 3,Purple,M,2nd,Gi,Form Jiu Jitsu Academy,IBJJF Worlds
Mauricio De La Vega ,Middle,Master 3,Purple,M,3rd,Gi,Fight Sports,IBJJF Worlds
Robert Walker ,Super-Heavy,Master 3,Purple,M,3rd,Gi,Marcio Cruz Brazilian Jiu-Jitsu ,IBJJF Worlds
Don Westman ,Super-Heavy,Master 3,Brown,M,1st,Gi,Colorado BJJ,IBJJF Worlds
Brian Donohoe ,Ultra-Heavy,Master 3,Brown,M,2nd,Gi,Rodrigo Vaghi BJJ ,IBJJF Worlds
Abongo Humphrey,Ultra-Heavy,Master 3,Brown,M,3rd,Gi,Roberto Traven BJJ ,IBJJF Worlds
Ismael Ribas Fagundes ,Middle,Master 3,Brown,M,3rd,Gi,Michel Maia Jiu-Jitsu ,IBJJF Worlds
Ronaldo Milanesi M. Chaves,Medium-Heavy,Master 3,Black,M,1st,Gi,Checkmat,IBJJF Worlds
Luke Harris,Super-Heavy,Master 3,Black,M,2nd,Gi,Zenith BJJ ,IBJJF Worlds
Fabio Leopoldo e Silva Neto ,Medium-Heavy,Master 3,Black,M,3rd,Gi,Gracie Morumbi ,IBJJF Worlds
James Eric Foster ,Ultra-Heavy,Master 3,Black,M,3rd,Gi,One Jiu-Jitsu USA ,IBJJF Worlds
Carla Karine Melo Benevides Freire ,Heavy,Master 3,Blue,F,1st,Gi,Jesiel Andrade Team ,IBJJF Worlds
Geeta Bhat ,Medium-Heavy,Master 3,Blue,F,2nd,Gi,Team Royce Gracie ,IBJJF Worlds
Anissa Scott ,Middle,Master 3,Blue,F,3rd,Gi,Renato Tavares Association ,IBJJF Worlds
Ginger K. Hines ,Super-Heavy,Master 3,Purple,F,1st,Gi,Roberto Traven BJJ ,IBJJF Worlds
Heather Westman,Super-Heavy,Master 3,Purple,F,2nd,Gi,Colorado BJJ,IBJJF Worlds
Bridget - Jane Arohanui Watkins ,Super-Heavy,Master 3,Purple,F,3rd,Gi,LEAD BJJ,IBJJF Worlds
Ivana Zgela ,Middle,Master 3,Purple,F,3rd,Gi,Alliance,IBJJF Worlds
Sharicka Long-O'Neill ,Middle,Master 3,Brown,F,1st,Gi,Ribeiro Jiu-Jitsu ,IBJJF Worlds
Laura L. Weldon ,Middle,Master 3,Brown,F,2nd,Gi,Rilion Gracie Atlanta - Ranieri Paiva BJJ ,IBJJF Worlds
Claudia Patricia Lacerda ,Medium-Heavy,Master 3,Brown,F,3rd,Gi,Equipe Totti Jiu-Jitsu ,IBJJF Worlds
Melissa Lohsen ,Super-Heavy,Master 3,Brown,F,3rd,Gi,Gracie Fighter ,IBJJF Worlds
Leticia Seguetto Tanabe Lalli ,Heavy,Master 3,Brown,F,1st,Gi,Checkmat,IBJJF Worlds
Jennifer Lynn Whitcomb ,Medium-Heavy,Master 3,Black,F,2nd,Gi,Jiu-Jitsu For Life Team ,IBJJF Worlds
Silvia Vasconcelos Mondelli ,Feather,Master 3,Black,F,3rd,Gi,American Top Team Connecticut,IBJJF Worlds
Robert Sean Sintobin ,Ultra-Heavy,Master 4,Blue,M,1st,Gi,Zenith BJJ ,IBJJF Worlds
Matthew Adam Shriner ,Ultra-Heavy,Master 4,Blue,M,2nd,Gi,Marco Nascimento BJJ ,IBJJF Worlds
Jeffrey Scott Williams ,Middle,Master 4,Blue,M,3rd,Gi,Gracie Barra,IBJJF Worlds
Michael Richard Smith ,Heavy,Master 4,Blue,M,3rd,Gi,Casa of Jiu-Jitsu ,IBJJF Worlds
Oleg Vasilyev ,Super-Heavy,Master 4,Purple,M,1st,Gi,Inglorious Grapplers ,IBJJF Worlds
Fabio Jorge Hauly ,Super-Heavy,Master 4,Purple,M,2nd,Gi,Magoo JJ,IBJJF Worlds
Anthony J Kim ,Feather,Master 4,Purple,M,3rd,Gi,Alliance,IBJJF Worlds
Joao Carlos Fernandes de Freitas ,Heavy,Master 4,Purple,M,3rd,Gi,Michel Maia Jiu-Jitsu ,IBJJF Worlds
Maurice Moreno ,Ultra-Heavy,Master 4,Brown,M,1st,Gi,Gracie Barra ,IBJJF Worlds
Masahiko Kogo ,Feather,Master 4,Brown,M,2nd,Gi,X-Treme Jiu-Jitsu Academy ,IBJJF Worlds
Miguel E. Inong Jr. ,Super-Heavy,Master 4,Brown,M,3rd,Gi,Gracie Barra,IBJJF Worlds
R. John Carrillo Jr ,Super-Heavy,Master 4,Brown,M,3rd,Gi,Carlson Gracie Team,IBJJF Worlds
Anthony Jason Perosh ,Ultra-Heavy,Master 4,Black,M,1st,Gi,Team Perosh Mixed Martial Arts ,IBJJF Worlds
Eduardo Alexandre Machado ,Heavy,Master 4,Black,M,2nd,Gi,UAE Jiu-jitsu Team ,IBJJF Worlds
Alessandro Cirone Nagaishi ,Feather,Master 4,Black,M,3rd,Gi,Checkmat,IBJJF Worlds
Joao Carlos Shinzato ,Light,Master 4,Black,M,3rd,Gi,Evolve MMA,IBJJF Worlds
Verlene Pereira Costa ,Heavy,Master 4,Blue,F,1st,Gi,Ribeiro Jiu-Jitsu ,IBJJF Worlds
Teri Froman ,Middle,Master 4,Blue,F,2nd,Gi,Zenith BJJ ,IBJJF Worlds
Christi R Foutz ,Medium-Heavy,Master 4,Blue,F,3rd,Gi,Gracie Humaita ,IBJJF Worlds
Suzanne Campos Zamora ,Super-Heavy,Master 4,Blue,F,3rd,Gi,Ohana Jiu-Jitsu Academy ,IBJJF Worlds
